見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
平成30年7月豪雨義援金の募集,県では、被災された方々を支援するため、義援金を9月30日まで受け付けています。,義援金振込先(1) 金融機関：紀陽銀行 県庁支店口座番号：（普）411370 (2) 金融機関：和歌山県信用農業協同組合連合会 本所口座番号：（普）6764 (3)きのくに信用金庫 本店口座番号：（普）2657355口座名義：(1)～(3)共通  平成30年7月豪雨義援金,,,,,,,,県庁福祉保健総務課県ウェブサイトでも掲載 ,,,,,https://www.pref.wakayama.lg.jp/prefg/040100/d00155629.html,,,
最新の医学・医療 カンファランス,テーマ：(1)加齢と日焼けによる皮膚がんについて(2)五十肩（肩関節周囲炎）のカテーテル治療,,,9月13日（木）14:00～16:00,県立医大図書館棟（和歌山市）,,100人（先着順）,,,県立医大生涯研修センター電話073-441-0789　,,,,,http://www.wakayama-med.ac.jp/,,,
難病患者の就労・年金・療養相談会,,,,(1)9月28日（金）13:00～16:00(2)10月4日（木）13:30～16:30,(1)東牟婁振興局（新宮市）(2)中央コミュニティセンター（和歌山市）,難病患者とその家族,各15人（先着順）,,,,電話、ファックスで住所、氏名、電話（ファックス）番号、相談内容を(1)9月18日(2)25日までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,[1]在宅療養の患者・家族のための研修会「災害に備える」,,,10月20日（土）13:30～15:30,プラザホープ（和歌山市）,患者、家族、保健・医療・福祉関係者など,50人（先着順）,,,,電話、ファックスで事業名、氏名、電話（ファックス）番号、参加人数を10月15日（手話通訳・要約筆記は9月19日）までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
県難病・子ども保健相談支援センターからのお知らせ,[2]難病患者の就労支援セミナー・個別相談会,,,11月1日（木）13:30～16:00,プラザホープ（和歌山市）,患者、家族、保健・福祉・医療関係者など,30人（先着順）,,,,電話、ファックスで事業名、氏名、電話（ファックス）番号、参加人数を10月29日（手話通訳・要約筆記は9月28日）までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/050302/050300/kodomo/index.html,,,
潜在看護職員復職支援研修,,,,10月2日（火）～10日（水）のうち6日間（3日間の実習含む）,情報交流センターBig・U（田辺市）、県内病院など,看護職の有資格者で現在就業していない方, 20人（先着順）,,,,郵送、電話、ファックス、Eメールで所定の申込書（申込先で配布）を9月18日までに県ナースセンター〒642-0017海南市南赤坂17電話073-483-1005　ファックス073-483-1266,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,riji@wakayama-kangokyokai.or.jp　,
県立医大保健看護学部公開講座,テーマ：生き生き健康づくり～見直そう！あなたの生活習慣～,,,10月6日（土）13:00～15:00,県立医大保健看護学部（和歌山市）,,100人（先着順）,,,,郵送（ハガキ）、ファックスで住所、氏名、年齢、電話番号を県立医大保健看護学部事務室 〒641-0011和歌山市三葛580電話073-446-6700　ファックス073-446-6720,,,,http://www.wakayama-med.ac.jp/,,,
聴覚障害者IT講習会「スカイプを登録して活用してみよう！」,,,,10月22日（月）10:00～12:30,美熊野（みくまの）福祉会（新宮市）,県内在住の聴覚障害者および中途失聴・難聴者でスマートフォンまたはタブレットをお持ちの方,15人（抽選）,,,,郵送、ファックスで所定の申込書（申込先、WEBサイトで配布）を10月8日までに県聴覚障害者情報センター〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛6階 電話073-421-6311　ファックス073-421-6411,,,,http://wakayama-tyoukaku.la.coocan.jp/,,,
赤十字県民大学,(1)健康と病気の講座（6回） (2)家庭での介護の講座（6回）(3)病気と食物の講座（6回）,,,10月6日～平成31年2月16日の指定する土曜10:00～12:00,日赤和歌山医療センター（和歌山市）,,(1)200人(2)(3)各50人（抽選）,無料（テキスト代別）,,,往復ハガキで講座名、住所、氏名（フリガナ）、年齢、電話番号を9月21日までに日赤和歌山医療センター社会課 〒640-8558和歌山市小松原通4-20電話073-422-4171　　 ,,,,,,,
ひとり親家庭のライフプランニング,ファイナンシャルプランナーによる講座,,,11月4日（日）13:00～17:00,情報交流センターBig・U（田辺市）,県内在住のひとり親家庭の方（和歌山市在住除く）,15人（抽選）,,,,郵送、ファックス、Eメールで住所、氏名（フリガナ）、年齢、電話番号を9月28日までに県母子家庭等就業・自立支援センター〒640-8423和歌山市松江中1-4-2電話073-452-2711　ファックス073-499-8620,,,,http://www.w-sumirehome.or.jp/center.html,,w-sumire@naxnet.or.jp　　,
医療的ケア児等支援者・コーディネーター養成研修,,,,(1)支援者12月1日（土）・2日（日）2日間(2)コーディネーター12月1日（土）・2日（日）、平成31年2月2日（土）・３日（日）4日間,北コミュニティセンター（和歌山市）,,各50人,,,,郵送、ファックスで所定の申込書（申込先で配布）を10月10日までに和歌山つくし医療・福祉センター〒649-6215岩出市中迫665電話0736-62-4121　ファックス0736-62-8185,,,,https://www.pref.wakayama.lg.jp/prefg/040400/index.html,,,
県男女共同参画センター“りぃぶる”からのお知らせ,(1)保育つき読書の時間,子供を預けて読書を楽しんでもらう,,月27日（木）10:30～12:00,県男女共同参画センター（和歌山市）,保護者と子供（1歳～未就学児）,10組（先着順）,,電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号、子供の名前・年齢を9月17日までに問合先,県男女共同参画センター 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛9階 電話073-435-5245　ファックス073-435-5247 Eメール　e0315011@pref.wakayama.lg.jp　県ウェブサイトでも掲載 　,,,,,https://www.pref.wakayama.lg.jp/prefg/031501/index.html,,e0315011@pref.wakayama.lg.jp　,
県男女共同参画センター“りぃぶる”からのお知らせ,(2)魅力ある女性リーダー養成講座,[1]スキルアップ講座[2]リーダーシップ研修＆ロールモデルによるパネルディスカッションと交流会,,[1]9月26日（水）[2]10月23日（火） いずれも10:00～17:00,県男女共同参画センター（和歌山市）,県内在住・在勤の管理職をめざす女性従業員 ,各30人（先着順）,,,県男女共同参画センター 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛9階 電話073-435-5245　ファックス073-435-5247 Eメール　e0315011@pref.wakayama.lg.jp　県ウェブサイトでも掲載 　,,,,,https://www.pref.wakayama.lg.jp/prefg/031501/index.html,,,
県男女共同参画センター“りぃぶる”からのお知らせ,(3)キャリアデザイン講座,,,[1]10月4日 [2]10月11いずれも木曜10:00～17:00,[1]10月4日 Big・U0,,,,郵送、電話、ファックス、Eメール、インターネット、来所で住所、氏名、電話番号、勤務年数などを問合先,県男女共同参画センター 〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛9階 電話073-435-5245　ファックス073-435-5247 Eメール　e0315011@pref.wakayama.lg.jp　県ウェブサイトでも掲載 　,,,,,https://www.pref.wakayama.lg.jp/prefg/031501/index.html,,,
子供・若者育成支援県民大会,青少年健全育成功労者・団体への表彰など,,,10月20日（土）13:30～16:00,かつらぎ総合文化会館,,600人,,,県庁青少年・男女共同参画課　,,,,,https://www.pref.wakayama.lg.jp/prefg/031400/index.html,,,
県民文化会館からのお知らせ,(1)わかふるコンサート2018,紙遊苑コンサート,,9月15日（土）13:30～ ,紙遊苑（九度山町） ,,,,,和歌山県民文化会館 電話073-436-1331,,,,,http://www.wacaf.or.jp/culturehall/,,,
県民文化会館からのお知らせ,(2)けんぶんDE体験教室,21の音楽・手作り教室などを気軽に体験,,9月30日（日）10:00～16:00,県民文化会館（和歌山市）,,,"無料～1,000円以内",郵送、電話、ファックス、Eメールで住所、氏名、年齢、電話番号、参加教室名を問合先 ※各教室定員など詳しくは要問合せ,和歌山県民文化会館 電話073-436-1331,,,,,http://www.wacaf.or.jp/culturehall/,,,
地域猫対策セミナー,,,,(1)9月29日（土）13:30～16:00  (2)9月30日（日）13:00～15:00 ,(1)海南保健所  (2)粉河ふるさとセンター（紀の川市）,地域猫対策を行っているボランティアの方など,(1)50人(2)100人（先着順）,,,県庁食品・生活衛生課 ,,,,,https://www.pref.wakayama.lg.jp/prefg/031600/top.html,,,
第2回紀の国ものづくり就職フェア,,,,10月8日（祝）13:00～16:00,和歌山ビッグ愛（和歌山市）,,,,,県庁労働政策課,,,,,http://www.wakayama-uiturn.jp/,,,
11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,科目：(1)パソコン基礎科(2)CAD・NC技術科(3)介護初級科(4)パソコン・簿記事務科(5)パソコン・総務経理事務科,,,(1)(2)和歌山市(3)橋本市、有田市、田辺市(4)御坊市(5)田辺市※詳しくはWEBサイトを要確認,,,,,,ハローワーク（申込締切日あり）,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
司法書士による無料相談会,(1)高齢者・障害者のための成年後見相談会,,,9月17日（祝）10:00～16:00,プラザホープ（和歌山市）,,,,,県司法書士会 電話073-422-0568,,,,,http://wakayama-sihou.net/,,,
司法書士による無料相談会,(2)「法の日」司法書士無料相談会,相続登記や遺言、借金、成年後見に関することなど,,10月1日（月）～5日（金） 10:00～16:00,法務局、県内各司法書士事務所,,,,,県司法書士会 電話073-422-0568,,,,,http://wakayama-sihou.net/,,,
あなただけの就農相談（予約制）,就農に必要な情報提供と個別相談,,,(1)9月16日(2)30日(3)10月14日(4)28日 いずれも日曜9:00～17:30（相談時間は90分）,県就農支援センター（御坊市）,,各5人（先着順）,,,,電話で氏名、電話番号、相談希望日時を(1)9月11日(2)25日(3)10月9日(4)23日までに会場 〒644-0024御坊市塩屋町南塩屋724電話0738-23-3488　県ウェブサイトでも掲載 　,,,,https://www.pref.wakayama.lg.jp/prefg/071601/sintyakujouhou/index.html,,,
県文化表彰受賞記念展,昨年度文化表彰受賞者の作品などを紹介,,,9月21日（金）～30日（日）9:30～17:00,県民文化会館(和歌山市),,,,,県庁文化学術課　,,,,,https://www.pref.wakayama.lg.jp/prefg/022100/index.html,,,
百間山渓谷自然観察会,,,,9月29日（土）9:30～15:00 ※雨天、増水などの場合は中止,百間山渓谷（田辺市）,小学生以上（小学生は保護者同伴）,20人（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号、生年月日、性別を9月3～21日に県庁自然環境室ファックス073-433-3590 Eメール　e0320004@pref.wakayama.lg.jp　　県ウェブサイトでも掲載 ,,,,https://www.pref.wakayama.lg.jp/prefg/032000/032500/index.html,,e0320004@pref.wakayama.lg.jp　　,
世界遺産高野参詣道トレッキング,,,,(1)9月29日（土）(2)10月13日（土） (3)21日（日）(4)11月4日（日）(5)12月2日（日）,(1)不動坂(2)黒河道(3)三谷坂(4)町石道(5)女人道（橋本市・伊都郡内）,,,,,伊都振興局企画産業課 電話0736-33-4909 ※詳しくはWEBサイトを要確認 　高野・山麓いと楽しのぺージへリンク　,,,,,,,,
紀北青少年の家,〒649-7112　かつらぎ町中飯降1317-3電話0736-22-5530　ファックス0736-22-5531,ハロウィンナイト ,～今夜は仮装で盛り上がろう！～,10月13日（土）～14日（日）1泊2日,,小学3～6年生,40人（先着順）,"4,000円",9月29日まで,,,,,,http://www.kihokuseisyounen.com/ ,,,
